timestamp,event,side,price,amount_btc,amount_usdt,portfolio_usdt,portfolio_btc,portfolio_value
2026-04-26T22:14:22.740484,REVERSAL_CLOSE,SELL,78551.49,0.00127305,100.00,30423.30,0.73784000,88381.73
2026-04-26T22:14:37.465888,REVERSAL_CLOSE,SELL,78568.00,0.00127278,100.00,30523.07,0.73657000,88393.90
2026-04-26T22:16:05.338912,REVERSAL_CLOSE,SELL,78742.50,0.00127314,100.25,30722.81,0.73530000,88622.17
2026-04-26T22:16:25.375900,REVERSAL_CLOSE,SELL,78703.49,0.00127040,99.98,30822.79,0.73403000,88593.51
2026-04-26T22:24:50.944310,REVERSAL_CLOSE,SELL,78685.05,0.00126995,99.93,31022.68,0.73149000,88580.01
2026-04-26T22:30:14.025546,REVERSAL_CLOSE,SELL,78502.30,0.00127392,100.01,31022.69,0.73022000,88346.64
2026-04-26T22:30:41.323413,REVERSAL_CLOSE,SELL,78471.43,0.00127437,100.00,31122.39,0.72895000,88324.14
2026-04-26T22:31:01.076119,REVERSAL_CLOSE,SELL,78473.22,0.00127437,100.00,31321.73,0.72768000,88425.12
2026-04-26T22:31:36.708090,REVERSAL_CLOSE,SELL,78442.71,0.00127500,100.01,31421.35,0.72641000,88402.92
2026-04-26T22:32:02.387530,REVERSAL_CLOSE,SELL,78472.89,0.00127497,100.05,31421.41,0.72641000,88424.90
2026-04-26T22:32:22.470718,REVERSAL_CLOSE,SELL,78446.74,0.00127474,100.00,31521.04,0.72514000,88405.91
2026-04-26T22:32:35.862237,REVERSAL_CLOSE,SELL,78449.62,0.00127483,100.01,31521.05,0.72387000,88308.37
2026-04-26T22:33:07.019083,REVERSAL_CLOSE,SELL,78383.04,0.00127623,100.03,31620.68,0.72260000,88260.26
2026-04-26T22:33:54.355773,REVERSAL_CLOSE,SELL,78294.54,0.00127799,100.06,31819.58,0.72133000,88295.78
2026-04-26T22:34:08.806434,REVERSAL_CLOSE,SELL,78202.52,0.00127834,99.97,31819.62,0.72006000,88130.12
2026-04-26T22:34:22.299658,REVERSAL_CLOSE,SELL,78134.73,0.00127968,99.99,31819.62,0.72133000,88180.54
2026-04-26T22:35:13.197829,REVERSAL_CLOSE,SELL,78020.06,0.00128168,100.00,31819.72,0.72133000,88097.93
2026-04-26T22:35:25.652366,REVERSAL_CLOSE,SELL,78073.53,0.00128113,100.02,31819.76,0.72005000,88036.60
2026-04-26T22:35:51.563341,REVERSAL_CLOSE,SELL,78138.37,0.00128098,100.09,32019.62,0.71877000,88183.14
