timestamp,trade_id,event,side,price,amount,pnl,fees,score,confidence,reason,type
2026-04-27T19:51:05.969827,6,EXIT,BUY,2286.36,0.05216938,0.01,0.0954,0.000000,0.000000,,TRAIL_WIN
2026-04-27T19:51:19.053546,7,ENTRY,BUY,2286.12,0.05662845,0.00,0.0000,0.061682,0.061682,Score:0.103 SMC:Neutral (MR:0.0 OB:1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-1.0 SMC:0.0 SR:0.0) MTF(1h:BEAR 4h:BEAR 1d:NEU) SR1h:S@2305/R@2329 [MTF soft: counter-trend penalty],
2026-04-27T19:51:20.668677,7,EXIT,SELL,2286.12,0.05662845,0.00,0.1036,0.000000,0.000000,,TRAIL_SL
2026-04-27T19:51:31.926314,8,ENTRY,BUY,2285.69,0.05658007,0.00,0.0000,0.061682,0.061682,Score:0.103 SMC:Neutral (MR:0.0 OB:1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-1.0 SMC:0.0 SR:0.0) MTF(1h:BEAR 4h:BEAR 1d:NEU) SR1h:S@2305/R@2329 [MTF soft: counter-trend penalty],
2026-04-27T19:51:33.529840,8,EXIT,SELL,2285.88,0.05658007,0.01,0.1035,0.000000,0.000000,,TRAIL_WIN
2026-04-27T19:51:44.803889,9,ENTRY,BUY,2286.11,0.05651684,0.00,0.0000,0.061682,0.061682,Score:0.103 SMC:Neutral (MR:0.0 OB:1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-1.0 SMC:0.0 SR:0.0) MTF(1h:BEAR 4h:BEAR 1d:NEU) SR1h:S@2305/R@2329 [MTF soft: counter-trend penalty],
2026-04-27T19:51:46.412791,9,EXIT,SELL,2286.11,0.05651684,0.00,0.1034,0.000000,0.000000,,TRAIL_SL
2026-04-27T19:53:29.830948,1,ENTRY,BUY,2286.31,0.05698077,0.00,0.0000,0.061682,0.061682,Score:0.103 SMC:Neutral (MR:0.0 OB:1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-1.0 SMC:0.0 SR:0.0) MTF(1h:BEAR 4h:BEAR 1d:NEU) SR1h:S@2305/R@2329 [MTF soft: counter-trend penalty],
2026-04-27T20:13:11.268355,1,EXIT,SELL,2289.90,0.05698077,0.20,0.1043,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T20:13:58.491591,1,ENTRY,SELL,2289.64,0.05237937,0.00,0.0000,-0.168224,0.168224,Score:-0.168 SMC:Neutral (MR:0.0 OB:-1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-1.0 SMC:0.0 SR:-1.0) MTF(1h:BEAR 4h:BEAR 1d:BULL) SR1h:S@2264/R@2329,
2026-04-27T20:16:00.225913,1,EXIT,BUY,2291.02,0.05237937,-0.07,0.0960,0.000000,0.000000,,REVERSAL
2026-04-27T20:16:00.226599,2,ENTRY,BUY,2291.02,0.06101042,0.00,0.0000,0.278037,0.278037,Score:0.278 SMC:BOS Bull (MR:0.0 OB:1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:0.0 SMC:1.0 SR:-1.0) MTF(1h:BEAR 4h:BEAR 1d:BULL) SR1h:S@2264/R@2329,
2026-04-27T20:20:58.220240,2,EXIT,SELL,2291.25,0.06101042,0.01,0.1118,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T20:21:46.496163,1,ENTRY,SELL,0.10,1140.06942983,0.00,0.0000,-0.350515,0.350515,Score:-0.351 SMC:Neutral (MR:-1.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:-0.5 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T20:25:22.555440,1,EXIT,BUY,0.10,1140.06942983,-0.01,0.0894,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T20:26:07.699888,1,ENTRY,SELL,0.10,1145.15383944,0.00,0.0000,-0.340206,0.340206,Score:-0.340 SMC:Neutral (MR:-1.0 OB:0.0 VWAP:0.0 BB:0.0 MACD:1.0 PA:0.5 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T20:49:10.723232,1,EXIT,BUY,0.10,1145.15383944,-0.06,0.0898,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T20:49:53.556047,1,ENTRY,BUY,0.88,75.41980024,0.00,0.0000,0.113402,0.113402,Score:0.113 SMC:Neutral (MR:0.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.0 SMC:0.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@1/R@1,
2026-04-27T20:50:05.275912,2,ENTRY,BUY,0.88,75.46272068,0.00,0.0000,0.113402,0.113402,Score:0.113 SMC:Neutral (MR:0.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.0 SMC:0.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@1/R@1,
2026-04-27T21:01:37.504136,2,EXIT,SELL,0.89,75.46272068,0.54,0.0533,0.000000,0.000000,,TRAIL_WIN
2026-04-27T21:01:43.833788,3,ENTRY,BUY,0.89,79.81573867,0.00,0.0000,0.309278,0.309278,Score:0.309 SMC:Neutral (MR:0.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:1.0 SMC:0.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@1/R@1,
2026-04-27T21:04:43.196640,1,EXIT,SELL,0.88,75.41980024,0.32,0.0532,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T21:04:43.197684,3,EXIT,SELL,0.88,79.81573867,-0.21,0.0565,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T21:05:25.901265,1,ENTRY,SELL,0.10,1192.87213505,0.00,0.0000,-0.237113,0.237113,Score:-0.237 SMC:Neutral (MR:0.0 OB:0.0 VWAP:0.0 BB:0.0 MACD:-1.0 PA:0.5 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T21:05:32.306354,2,ENTRY,SELL,0.10,1192.99394371,0.00,0.0000,-0.237113,0.237113,Score:-0.237 SMC:Neutral (MR:0.0 OB:0.0 VWAP:0.0 BB:0.0 MACD:-1.0 PA:0.5 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T21:07:26.854320,1,EXIT,BUY,0.10,1192.87213505,-0.01,0.0935,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T21:07:26.855437,2,EXIT,BUY,0.10,1192.99394371,-0.02,0.0935,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T21:08:10.783546,1,ENTRY,SELL,0.10,1192.62859236,0.00,0.0000,-0.237113,0.237113,Score:-0.237 SMC:Neutral (MR:0.0 OB:0.0 VWAP:0.0 BB:0.0 MACD:-1.0 PA:0.5 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T21:12:20.036776,1,EXIT,BUY,0.10,1192.62859236,0.12,0.0934,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T21:13:07.503169,1,ENTRY,BUY,0.10,1338.02616655,0.00,0.0000,0.077320,0.077320,Score:0.077 SMC:Neutral (MR:0.0 OB:1.0 VWAP:0.0 BB:0.0 MACD:-1.0 PA:1.0 SMC:0.0 SR:0.0 KDJ:1.0 ST:-1.0) MTF(5m:NEU 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T21:13:33.296247,1,EXIT,SELL,0.10,1338.02616655,0.09,0.1048,0.000000,0.000000,,REVERSAL
2026-04-27T21:13:33.296988,2,ENTRY,SELL,0.10,1211.43653250,0.00,0.0000,-0.195876,0.195876,Score:-0.196 SMC:Neutral (MR:0.0 OB:0.0 VWAP:0.0 BB:0.0 MACD:-1.0 PA:1.0 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:NEU 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T21:25:03.238820,2,EXIT,BUY,0.10,1211.43653250,0.02,0.0949,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T21:27:26.263345,1,ENTRY,SELL,0.10,1206.22027839,0.00,0.0000,-0.206186,0.206186,Score:-0.206 SMC:Neutral (MR:0.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:-1.0 PA:0.0 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T21:41:18.673096,1,EXIT,BUY,0.10,1206.22027839,-0.16,0.0946,0.000000,0.000000,,MANUAL_CLOSE
2026-04-27T21:45:15.262061,1,ENTRY,SELL,0.10,621.78985054,0.00,0.0000,-0.123711,0.123711,Score:-0.124 SMC:Neutral (MR:0.0 OB:-1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.0 SMC:0.0 SR:1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T21:48:37.215562,1,ENTRY,BUY,0.90,80.14514551,0.00,0.0000,0.388145,0.388145,Score:0.388 SMC:CHoCH Bull (MR:-1.0 OB:1.0 VWAP:-1.0 BB:-1.0 MACD:1.0 PA:0.0 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@1/R@1,
2026-04-27T21:55:27.502505,1,EXIT,SELL,0.90,80.14514551,-0.65,0.0577,0.000000,0.000000,,TRAIL_SL
2026-04-27T21:55:33.293028,2,ENTRY,BUY,0.90,79.94513779,0.00,0.0000,0.349904,0.349904,Score:0.350 SMC:CHoCH Bull (MR:-1.0 OB:0.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.0 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@1/R@1,
2026-04-27T22:00:17.366404,1,ENTRY,BUY,0.90,81.70815397,0.00,0.0000,0.426386,0.426386,Score:0.426 SMC:CHoCH Bull (MR:-1.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:-0.5 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@1/R@1,
